notification_id,farmer_id,event_type,channel,language,delivery_status
N00215,F0052,procurement_complete,in_app,hi,sent
N00216,F0048,slot_reminder,push,en,sent
N00217,F0054,booking_confirmed,sms,en,sent
N00218,F0082,booking_confirmed,push,hi,sent
N00219,F0007,queue_update,push,hi,sent
N00220,F0084,procurement_complete,sms,bn,sent
N00221,F0038,queue_update,in_app,bn,sent
N00222,F0062,booking_confirmed,push,en,sent
N00223,F0046,queue_update,sms,hi,sent
N00224,F0065,slot_reminder,sms,en,sent
N00225,F0019,payment_update,push,en,sent
N00226,F0004,payment_update,sms,bn,sent
N00227,F0067,queue_update,sms,hi,sent
N00228,F0052,queue_update,in_app,hi,sent
N00229,F0045,payment_update,push,hi,sent
N00230,F0048,booking_confirmed,in_app,bn,sent
N00231,F0016,procurement_complete,push,hi,sent
N00232,F0098,payment_update,sms,bn,sent
N00233,F0100,payment_update,in_app,bn,sent
N00234,F0073,payment_update,sms,en,sent
N00235,F0049,queue_update,in_app,bn,sent
N00236,F0057,queue_update,sms,en,sent
N00237,F0098,slot_reminder,sms,bn,sent
N00238,F0050,queue_update,push,en,sent
N00239,F0006,booking_confirmed,push,en,sent
N00240,F0018,slot_reminder,push,bn,sent
N00241,F0025,procurement_complete,sms,hi,sent
N00242,F0071,payment_update,push,en,sent
N00243,F0001,booking_confirmed,sms,en,sent
N00244,F0034,procurement_complete,sms,en,sent
N00245,F0060,slot_reminder,in_app,hi,sent
N00246,F0015,booking_confirmed,in_app,hi,sent
N00247,F0044,payment_update,in_app,hi,sent
N00248,F0061,queue_update,in_app,bn,sent
N00249,F0071,queue_update,in_app,bn,sent
N00250,F0042,payment_update,sms,bn,sent
N00251,F0088,payment_update,in_app,bn,sent
N00252,F0036,payment_update,sms,en,sent
N00253,F0003,procurement_complete,push,hi,sent
N00254,F0043,payment_update,push,hi,sent
N00255,F0093,procurement_complete,sms,bn,sent
N00256,F0039,queue_update,sms,en,sent
N00257,F0072,slot_reminder,sms,en,sent
N00258,F0060,slot_reminder,sms,bn,sent
N00259,F0070,payment_update,push,hi,sent
N00260,F0096,procurement_complete,push,bn,sent
N00261,F0043,queue_update,sms,en,sent
N00262,F0021,payment_update,push,bn,sent
N00263,F0009,queue_update,sms,hi,sent
N00264,F0052,procurement_complete,sms,hi,sent
N00265,F0061,booking_confirmed,push,hi,sent
N00266,F0016,queue_update,sms,hi,sent
N00267,F0063,procurement_complete,in_app,en,sent
N00268,F0052,procurement_complete,sms,hi,sent
N00269,F0032,payment_update,sms,hi,sent
N00270,F0021,payment_update,push,bn,sent
N00271,F0049,booking_confirmed,sms,en,sent
N00272,F0011,booking_confirmed,sms,bn,sent
N00273,F0055,procurement_complete,sms,bn,sent
N00274,F0083,slot_reminder,sms,en,sent
N00275,F0061,slot_reminder,sms,en,sent
N00276,F0038,queue_update,in_app,bn,sent
N00277,F0090,queue_update,in_app,bn,sent
N00278,F0012,booking_confirmed,sms,hi,sent
N00279,F0043,booking_confirmed,sms,bn,sent
N00280,F0011,booking_confirmed,in_app,en,sent
N00281,F0025,slot_reminder,push,hi,sent
N00282,F0014,queue_update,in_app,hi,sent
N00283,F0079,payment_update,sms,bn,sent
N00284,F0037,slot_reminder,sms,hi,sent
N00285,F0078,queue_update,sms,bn,sent
N00286,F0100,payment_update,sms,hi,sent
N00287,F0078,slot_reminder,in_app,hi,sent
N00288,F0005,procurement_complete,push,bn,sent
N00289,F0021,procurement_complete,push,hi,sent
N00290,F0066,queue_update,push,bn,sent
N00291,F0091,procurement_complete,push,en,sent
N00292,F0040,queue_update,sms,en,sent
N00293,F0060,slot_reminder,in_app,en,sent
N00294,F0005,booking_confirmed,sms,bn,sent
N00295,F0016,slot_reminder,sms,hi,sent
N00296,F0017,slot_reminder,in_app,en,sent
N00297,F0037,queue_update,in_app,hi,sent
N00298,F0075,slot_reminder,in_app,hi,sent
N00299,F0056,procurement_complete,sms,bn,sent
N00300,F0086,payment_update,in_app,bn,sent
