queue_event_id,centre_id,event_timestamp,queue_length,active_counters,avg_quantity_qtl,avg_service_time_min,hour,weather_condition,no_show_count,observed_wait_time_min,daily_capacity_qtl,daily_farmer_capacity,service_counters,historical_on_time_rate,historical_processing_efficiency,slot_fill_rate,day_of_week
Q000077,C003,2026-09-20 04:37:00,5,5,32,11,10,clear,2,40,110,165,4,0.921,0.854,0.862,6
Q000078,C004,2026-09-14 18:55:00,19,2,15,11,14,cloudy,1,36,60,100,2,0.746,0.824,0.822,0
Q000079,C003,2026-09-13 01:34:00,62,4,19,9,13,clear,1,39,110,165,4,0.921,0.854,0.862,6
Q000080,C004,2026-09-09 17:31:00,69,1,21,5,9,cloudy,0,5,60,100,2,0.746,0.824,0.822,2
Q000081,C004,2026-09-07 14:40:00,80,2,7,8,8,clear,3,28,60,100,2,0.746,0.824,0.822,0
Q000082,C001,2026-09-29 11:20:00,78,4,26,19,8,clear,3,5,120,180,4,0.736,0.631,0.81,1
Q000083,C001,2026-09-25 10:45:00,35,5,14,4,16,cloudy,3,16,120,180,4,0.736,0.631,0.81,4
Q000084,C001,2026-09-05 17:42:00,67,2,12,10,17,cloudy,2,27,120,180,4,0.736,0.631,0.81,5
Q000085,C003,2026-09-19 10:01:00,10,3,35,16,15,cloudy,1,19,110,165,4,0.921,0.854,0.862,5
Q000086,C003,2026-09-05 00:33:00,4,1,17,16,14,cloudy,3,8,110,165,4,0.921,0.854,0.862,5
Q000087,C001,2026-09-09 03:41:00,10,4,32,17,18,rain,0,38,120,180,4,0.736,0.631,0.81,2
Q000088,C001,2026-09-11 19:27:00,27,5,20,12,8,clear,2,39,120,180,4,0.736,0.631,0.81,4
Q000089,C001,2026-09-09 12:24:00,40,1,35,10,17,clear,3,9,120,180,4,0.736,0.631,0.81,2
Q000090,C003,2026-09-08 17:56:00,72,2,23,16,18,cloudy,2,29,110,165,4,0.921,0.854,0.862,1
Q000091,C002,2026-09-04 22:09:00,64,3,6,7,14,clear,0,26,90,150,3,0.896,0.791,0.812,4
Q000092,C004,2026-09-16 04:59:00,3,3,30,18,15,clear,2,40,60,100,2,0.746,0.824,0.822,2
Q000093,C004,2026-09-21 00:11:00,23,5,26,16,9,cloudy,2,20,60,100,2,0.746,0.824,0.822,0
Q000094,C001,2026-09-05 02:06:00,34,2,17,8,14,rain,2,11,120,180,4,0.736,0.631,0.81,5
Q000095,C001,2026-09-01 14:10:00,39,4,16,12,9,clear,0,16,120,180,4,0.736,0.631,0.81,1
Q000096,C004,2026-09-21 18:45:00,71,5,21,17,9,clear,0,27,60,100,2,0.746,0.824,0.822,0
Q000097,C001,2026-09-28 12:30:00,76,3,32,16,8,rain,3,29,120,180,4,0.736,0.631,0.81,0
Q000098,C001,2026-09-26 19:39:00,31,5,21,9,18,rain,1,13,120,180,4,0.736,0.631,0.81,5
Q000099,C003,2026-09-15 01:24:00,34,4,9,6,10,rain,2,31,110,165,4,0.921,0.854,0.862,1
Q000100,C003,2026-09-23 09:24:00,9,3,13,11,18,rain,1,34,110,165,4,0.921,0.854,0.862,2
Q000101,C001,2026-09-07 12:29:00,38,1,35,16,13,cloudy,3,26,120,180,4,0.736,0.631,0.81,0
Q000102,C004,2026-09-16 14:07:00,55,5,9,13,13,cloudy,1,35,60,100,2,0.746,0.824,0.822,2
Q000103,C003,2026-09-09 10:31:00,50,3,14,19,17,clear,2,29,110,165,4,0.921,0.854,0.862,2
Q000104,C003,2026-09-19 05:41:00,46,1,34,10,17,cloudy,1,40,110,165,4,0.921,0.854,0.862,5
Q000105,C001,2026-09-22 08:42:00,26,4,30,13,9,rain,3,13,120,180,4,0.736,0.631,0.81,1
Q000106,C003,2026-09-12 08:51:00,32,2,27,17,14,clear,3,43,110,165,4,0.921,0.854,0.862,5
Q000107,C004,2026-09-27 20:27:00,51,5,21,17,16,clear,2,39,60,100,2,0.746,0.824,0.822,6
Q000108,C001,2026-09-06 07:57:00,31,3,10,5,17,cloudy,3,26,120,180,4,0.736,0.631,0.81,6
Q000109,C004,2026-09-06 04:13:00,1,1,13,11,16,cloudy,1,33,60,100,2,0.746,0.824,0.822,6
Q000110,C003,2026-09-19 03:43:00,59,5,27,20,10,rain,0,35,110,165,4,0.921,0.854,0.862,5
Q000111,C001,2026-09-14 19:11:00,53,1,8,8,13,rain,2,34,120,180,4,0.736,0.631,0.81,0
Q000112,C002,2026-09-25 01:41:00,61,3,20,7,15,cloudy,3,25,90,150,3,0.896,0.791,0.812,4
Q000113,C001,2026-09-15 00:28:00,5,1,5,14,18,clear,1,20,120,180,4,0.736,0.631,0.81,1
Q000114,C002,2026-09-26 11:19:00,20,3,22,17,15,clear,3,45,90,150,3,0.896,0.791,0.812,5
Q000115,C002,2026-09-09 20:05:00,55,4,5,10,15,cloudy,3,29,90,150,3,0.896,0.791,0.812,2
Q000116,C001,2026-09-11 03:06:00,26,3,29,6,17,clear,1,28,120,180,4,0.736,0.631,0.81,4
Q000117,C003,2026-09-10 07:45:00,58,1,13,19,16,cloudy,2,43,110,165,4,0.921,0.854,0.862,3
Q000118,C004,2026-09-29 04:12:00,50,5,8,15,13,rain,1,24,60,100,2,0.746,0.824,0.822,1
Q000119,C001,2026-09-07 10:48:00,40,1,12,13,9,clear,2,14,120,180,4,0.736,0.631,0.81,0
Q000120,C004,2026-09-20 09:19:00,76,2,23,16,14,clear,3,45,60,100,2,0.746,0.824,0.822,6
Q000121,C002,2026-09-26 14:36:00,21,4,14,8,10,rain,3,44,90,150,3,0.896,0.791,0.812,5
Q000122,C001,2026-09-17 16:39:00,1,4,9,10,14,cloudy,3,31,120,180,4,0.736,0.631,0.81,3
Q000123,C004,2026-09-20 06:28:00,56,4,10,6,17,clear,1,23,60,100,2,0.746,0.824,0.822,6
Q000124,C001,2026-09-13 20:42:00,28,5,14,9,15,cloudy,3,40,120,180,4,0.736,0.631,0.81,6
Q000125,C001,2026-09-27 10:03:00,14,3,29,15,16,clear,3,39,120,180,4,0.736,0.631,0.81,6
Q000126,C002,2026-09-20 16:52:00,13,2,14,5,15,rain,2,10,90,150,3,0.896,0.791,0.812,6
Q000127,C004,2026-09-06 16:43:00,30,2,30,15,17,cloudy,3,15,60,100,2,0.746,0.824,0.822,6
Q000128,C002,2026-09-10 18:11:00,26,1,23,15,16,rain,1,25,90,150,3,0.896,0.791,0.812,3
Q000129,C003,2026-09-14 12:31:00,73,3,35,20,18,clear,1,31,110,165,4,0.921,0.854,0.862,0
Q000130,C001,2026-09-13 23:24:00,16,2,12,8,13,clear,3,36,120,180,4,0.736,0.631,0.81,6
Q000131,C002,2026-09-27 15:12:00,80,3,25,17,14,rain,0,45,90,150,3,0.896,0.791,0.812,6
Q000132,C001,2026-09-19 16:31:00,65,3,27,15,15,rain,2,42,120,180,4,0.736,0.631,0.81,5
Q000133,C001,2026-09-05 14:14:00,58,3,32,6,16,rain,1,32,120,180,4,0.736,0.631,0.81,5
Q000134,C002,2026-09-23 20:51:00,34,3,31,13,13,cloudy,1,41,90,150,3,0.896,0.791,0.812,2
Q000135,C004,2026-09-16 23:57:00,6,1,8,18,8,clear,1,33,60,100,2,0.746,0.824,0.822,2
Q000136,C004,2026-09-01 09:14:00,54,2,27,8,18,rain,1,22,60,100,2,0.746,0.824,0.822,1
Q000137,C001,2026-10-01 03:29:00,46,3,7,15,18,cloudy,1,8,120,180,4,0.736,0.631,0.81,3
Q000138,C004,2026-09-29 19:49:00,39,2,18,6,9,clear,1,35,60,100,2,0.746,0.824,0.822,1
Q000139,C001,2026-09-07 09:26:00,75,2,21,18,8,clear,2,12,120,180,4,0.736,0.631,0.81,0
Q000140,C004,2026-09-07 08:52:00,61,1,12,16,9,cloudy,0,11,60,100,2,0.746,0.824,0.822,0
Q000141,C003,2026-09-18 01:58:00,38,2,17,8,18,cloudy,1,9,110,165,4,0.921,0.854,0.862,4
Q000142,C001,2026-09-29 03:07:00,21,4,16,10,18,cloudy,1,31,120,180,4,0.736,0.631,0.81,1
Q000143,C004,2026-09-11 05:47:00,11,1,9,7,17,cloudy,3,27,60,100,2,0.746,0.824,0.822,4
Q000144,C004,2026-09-15 16:01:00,17,2,13,6,11,cloudy,2,6,60,100,2,0.746,0.824,0.822,1
Q000145,C003,2026-09-10 16:54:00,66,5,21,10,14,rain,0,20,110,165,4,0.921,0.854,0.862,3
Q000146,C004,2026-09-18 21:59:00,14,2,20,6,16,clear,2,25,60,100,2,0.746,0.824,0.822,4
Q000147,C002,2026-09-18 23:01:00,72,4,16,9,15,clear,0,42,90,150,3,0.896,0.791,0.812,4
Q000148,C001,2026-09-01 23:33:00,33,2,6,5,14,cloudy,2,45,120,180,4,0.736,0.631,0.81,1
Q000149,C004,2026-09-20 15:09:00,51,1,25,8,12,clear,2,10,60,100,2,0.746,0.824,0.822,6
Q000150,C002,2026-09-08 10:12:00,68,3,17,6,12,cloudy,3,20,90,150,3,0.896,0.791,0.812,1
Q000151,C001,2026-09-12 11:32:00,11,4,8,18,17,cloudy,0,24,120,180,4,0.736,0.631,0.81,5
Q000152,C002,2026-09-06 18:57:00,1,2,27,4,10,rain,2,38,90,150,3,0.896,0.791,0.812,6
Q000153,C003,2026-09-08 22:52:00,47,2,28,12,9,clear,2,32,110,165,4,0.921,0.854,0.862,1
Q000154,C003,2026-09-25 04:41:00,8,3,27,6,15,rain,2,8,110,165,4,0.921,0.854,0.862,4
Q000155,C004,2026-09-27 03:41:00,21,3,10,12,9,cloudy,0,19,60,100,2,0.746,0.824,0.822,6
Q000156,C001,2026-09-03 08:36:00,1,2,6,19,13,rain,1,16,120,180,4,0.736,0.631,0.81,3
Q000157,C001,2026-09-26 12:22:00,53,2,15,11,14,cloudy,2,22,120,180,4,0.736,0.631,0.81,5
Q000158,C001,2026-09-27 08:46:00,47,1,21,5,10,clear,0,30,120,180,4,0.736,0.631,0.81,6
Q000159,C001,2026-09-22 12:30:00,36,3,15,6,16,rain,0,28,120,180,4,0.736,0.631,0.81,1
Q000160,C002,2026-09-14 14:59:00,72,3,28,11,15,rain,3,17,90,150,3,0.896,0.791,0.812,0
Q000161,C002,2026-09-08 04:57:00,0,4,5,11,16,rain,0,26,90,150,3,0.896,0.791,0.812,1
Q000162,C001,2026-10-01 06:27:00,48,3,8,10,16,clear,3,36,120,180,4,0.736,0.631,0.81,3
Q000163,C001,2026-09-07 20:00:00,35,1,6,11,16,rain,2,34,120,180,4,0.736,0.631,0.81,0
Q000164,C001,2026-09-27 18:51:00,12,5,9,16,9,cloudy,0,32,120,180,4,0.736,0.631,0.81,6
Q000165,C002,2026-09-12 03:07:00,37,3,32,14,14,cloudy,2,25,90,150,3,0.896,0.791,0.812,5
Q000166,C004,2026-09-13 17:32:00,29,1,35,10,10,cloudy,0,14,60,100,2,0.746,0.824,0.822,6
Q000167,C001,2026-09-08 20:02:00,57,4,15,17,9,cloudy,2,18,120,180,4,0.736,0.631,0.81,1
Q000168,C004,2026-09-15 09:15:00,59,3,32,7,9,clear,2,43,60,100,2,0.746,0.824,0.822,1
Q000169,C001,2026-09-11 03:21:00,41,2,7,11,13,rain,0,24,120,180,4,0.736,0.631,0.81,4
Q000170,C003,2026-09-09 06:24:00,3,4,32,18,16,cloudy,1,11,110,165,4,0.921,0.854,0.862,2
Q000171,C004,2026-09-05 23:48:00,17,1,5,5,11,clear,1,30,60,100,2,0.746,0.824,0.822,5
Q000172,C003,2026-09-30 00:57:00,10,5,23,12,9,clear,0,17,110,165,4,0.921,0.854,0.862,2
Q000173,C004,2026-09-07 05:10:00,11,3,8,5,15,clear,1,41,60,100,2,0.746,0.824,0.822,0
Q000174,C004,2026-09-19 07:56:00,63,1,17,17,10,rain,1,16,60,100,2,0.746,0.824,0.822,5
Q000175,C003,2026-09-14 02:10:00,57,2,6,11,18,rain,3,31,110,165,4,0.921,0.854,0.862,0
Q000176,C004,2026-09-04 03:06:00,11,3,17,8,14,clear,1,45,60,100,2,0.746,0.824,0.822,4
Q000177,C001,2026-09-18 18:17:00,45,4,22,19,13,cloudy,2,29,120,180,4,0.736,0.631,0.81,4
Q000178,C003,2026-09-09 12:54:00,3,3,24,11,8,rain,0,35,110,165,4,0.921,0.854,0.862,2
Q000179,C003,2026-09-27 22:22:00,29,2,8,11,18,clear,2,39,110,165,4,0.921,0.854,0.862,6
Q000180,C001,2026-09-11 08:09:00,73,4,16,9,10,clear,2,27,120,180,4,0.736,0.631,0.81,4
Q000181,C001,2026-09-17 08:37:00,72,5,9,10,15,cloudy,2,16,120,180,4,0.736,0.631,0.81,3
Q000182,C004,2026-09-03 01:57:00,11,1,12,11,8,cloudy,3,5,60,100,2,0.746,0.824,0.822,3
Q000183,C003,2026-09-29 07:17:00,25,2,15,9,13,clear,0,14,110,165,4,0.921,0.854,0.862,1
Q000184,C002,2026-09-06 09:39:00,67,3,35,6,13,cloudy,3,42,90,150,3,0.896,0.791,0.812,6
Q000185,C001,2026-09-16 16:06:00,38,3,9,9,14,cloudy,3,25,120,180,4,0.736,0.631,0.81,2
Q000186,C002,2026-09-26 22:19:00,78,3,12,9,14,rain,2,13,90,150,3,0.896,0.791,0.812,5
Q000187,C002,2026-09-01 10:27:00,73,4,32,5,10,cloudy,2,44,90,150,3,0.896,0.791,0.812,1
Q000188,C002,2026-09-30 11:09:00,72,1,34,19,10,rain,0,20,90,150,3,0.896,0.791,0.812,2
Q000189,C003,2026-09-15 21:29:00,21,1,31,14,15,clear,2,18,110,165,4,0.921,0.854,0.862,1
Q000190,C002,2026-09-04 10:32:00,44,3,30,7,8,clear,3,33,90,150,3,0.896,0.791,0.812,4
Q000191,C004,2026-09-08 22:11:00,52,4,33,16,13,cloudy,3,11,60,100,2,0.746,0.824,0.822,1
Q000192,C004,2026-09-27 15:53:00,28,2,19,6,8,rain,0,25,60,100,2,0.746,0.824,0.822,6
Q000193,C003,2026-09-06 02:53:00,9,3,10,16,10,cloudy,0,40,110,165,4,0.921,0.854,0.862,6
Q000194,C001,2026-09-16 17:37:00,76,5,33,19,8,rain,1,43,120,180,4,0.736,0.631,0.81,2
Q000195,C004,2026-09-08 12:05:00,6,1,15,10,11,rain,2,23,60,100,2,0.746,0.824,0.822,1
Q000196,C003,2026-09-12 03:57:00,12,1,17,19,10,clear,2,5,110,165,4,0.921,0.854,0.862,5
Q000197,C004,2026-09-05 08:12:00,37,5,20,10,9,clear,1,15,60,100,2,0.746,0.824,0.822,5
Q000198,C003,2026-09-05 01:59:00,60,1,14,16,15,rain,2,10,110,165,4,0.921,0.854,0.862,5
Q000199,C004,2026-09-09 18:26:00,47,4,16,9,15,clear,2,33,60,100,2,0.746,0.824,0.822,2
Q000200,C004,2026-09-13 08:12:00,28,3,23,5,10,cloudy,0,10,60,100,2,0.746,0.824,0.822,6
Q000201,C003,2026-09-25 23:54:00,52,5,12,5,14,cloudy,3,39,110,165,4,0.921,0.854,0.862,4
Q000202,C004,2026-09-27 10:03:00,30,4,14,6,14,cloudy,0,37,60,100,2,0.746,0.824,0.822,6
Q000203,C002,2026-09-06 19:52:00,57,2,35,9,11,clear,1,7,90,150,3,0.896,0.791,0.812,6
Q000204,C004,2026-09-04 22:05:00,55,2,31,8,17,rain,2,9,60,100,2,0.746,0.824,0.822,4
Q000205,C001,2026-09-19 00:24:00,71,4,22,14,12,cloudy,3,5,120,180,4,0.736,0.631,0.81,5
Q000206,C004,2026-09-06 11:24:00,53,2,9,7,9,cloudy,0,23,60,100,2,0.746,0.824,0.822,6
Q000207,C003,2026-09-20 01:18:00,33,4,25,19,17,cloudy,3,7,110,165,4,0.921,0.854,0.862,6
Q000208,C002,2026-09-13 21:19:00,51,2,24,16,8,rain,2,20,90,150,3,0.896,0.791,0.812,6
Q000209,C001,2026-09-22 23:33:00,34,3,5,14,12,rain,2,36,120,180,4,0.736,0.631,0.81,1
Q000210,C001,2026-09-11 17:29:00,17,3,28,18,13,rain,3,43,120,180,4,0.736,0.631,0.81,4
Q000211,C001,2026-09-09 21:46:00,56,2,34,17,15,cloudy,2,8,120,180,4,0.736,0.631,0.81,2
Q000212,C002,2026-09-04 08:10:00,39,5,17,8,16,cloudy,0,16,90,150,3,0.896,0.791,0.812,4
Q000213,C002,2026-09-10 11:44:00,7,2,6,18,8,rain,1,22,90,150,3,0.896,0.791,0.812,3
Q000214,C003,2026-09-22 11:33:00,64,4,25,7,18,clear,1,28,110,165,4,0.921,0.854,0.862,1
Q000215,C004,2026-09-28 09:21:00,57,2,35,19,17,cloudy,2,27,60,100,2,0.746,0.824,0.822,0
Q000216,C002,2026-09-13 03:01:00,11,3,5,16,8,clear,1,19,90,150,3,0.896,0.791,0.812,6
Q000217,C002,2026-09-10 18:18:00,34,4,21,4,18,clear,3,13,90,150,3,0.896,0.791,0.812,3
Q000218,C002,2026-09-28 17:06:00,1,2,13,13,18,rain,3,29,90,150,3,0.896,0.791,0.812,0
Q000219,C003,2026-09-22 05:50:00,32,2,19,13,18,cloudy,3,42,110,165,4,0.921,0.854,0.862,1
Q000220,C001,2026-09-01 16:31:00,65,3,22,13,12,cloudy,0,35,120,180,4,0.736,0.631,0.81,1
Q000221,C001,2026-09-16 15:48:00,35,3,32,12,12,cloudy,2,17,120,180,4,0.736,0.631,0.81,2
Q000222,C002,2026-09-24 21:31:00,30,1,30,16,18,rain,1,6,90,150,3,0.896,0.791,0.812,3
Q000223,C004,2026-09-14 19:22:00,33,4,17,16,8,cloudy,1,26,60,100,2,0.746,0.824,0.822,0
Q000224,C002,2026-09-25 16:27:00,60,3,21,13,10,cloudy,1,23,90,150,3,0.896,0.791,0.812,4
Q000225,C001,2026-09-22 18:43:00,16,3,28,9,18,rain,0,19,120,180,4,0.736,0.631,0.81,1
Q000226,C003,2026-09-11 12:26:00,39,4,30,14,13,rain,2,34,110,165,4,0.921,0.854,0.862,4
Q000227,C001,2026-09-22 18:27:00,6,5,23,6,15,clear,0,29,120,180,4,0.736,0.631,0.81,1
Q000228,C003,2026-09-20 03:43:00,6,2,9,10,13,rain,3,14,110,165,4,0.921,0.854,0.862,6
Q000229,C003,2026-09-09 13:29:00,10,4,15,9,13,cloudy,0,5,110,165,4,0.921,0.854,0.862,2
Q000230,C004,2026-09-13 19:15:00,26,2,23,9,15,clear,1,44,60,100,2,0.746,0.824,0.822,6
Q000231,C004,2026-09-30 04:26:00,54,4,18,19,14,clear,0,39,60,100,2,0.746,0.824,0.822,2
Q000232,C002,2026-09-18 08:01:00,1,3,29,20,11,clear,0,45,90,150,3,0.896,0.791,0.812,4
