payment_id,procurement_id,farmer_id,amount_inr,payment_status
PAY00236,P00236,F0061,23690,paid
PAY00237,P00237,F0017,35535,processing
PAY00238,P00238,F0004,16583,paid
PAY00239,P00239,F0060,54487,pending
PAY00240,P00240,F0088,28428,pending
PAY00241,P00241,F0023,28428,pending
PAY00242,P00242,F0083,49749,paid
PAY00243,P00243,F0078,71070,processing
PAY00244,P00244,F0021,75808,paid
PAY00245,P00245,F0093,45011,paid
PAY00246,P00246,F0096,11845,paid
PAY00247,P00247,F0087,61594,pending
PAY00248,P00248,F0067,75808,pending
PAY00249,P00249,F0050,75808,paid
PAY00250,P00250,F0054,71070,processing
PAY00251,P00251,F0092,78177,paid
PAY00252,P00252,F0100,63963,paid
PAY00253,P00253,F0062,45011,paid
PAY00254,P00254,F0051,33166,paid
PAY00255,P00255,F0052,37904,pending
PAY00256,P00256,F0016,42642,paid
PAY00257,P00257,F0034,21321,paid
PAY00258,P00258,F0022,66332,processing
PAY00259,P00259,F0085,42642,processing
PAY00260,P00260,F0032,21321,pending
PAY00261,P00261,F0034,26059,paid
PAY00262,P00262,F0083,35535,paid
PAY00263,P00263,F0091,45011,pending
PAY00264,P00264,F0032,68701,processing
PAY00265,P00265,F0038,35535,pending
PAY00266,P00266,F0058,35535,processing
PAY00267,P00267,F0036,54487,paid
PAY00268,P00268,F0018,68701,paid
PAY00269,P00269,F0037,49749,paid
PAY00270,P00270,F0048,28428,processing
PAY00271,P00271,F0038,63963,processing
PAY00272,P00272,F0092,82915,paid
PAY00273,P00273,F0082,54487,processing
PAY00274,P00274,F0092,47380,pending
PAY00275,P00275,F0038,61594,paid
PAY00276,P00276,F0089,66332,paid
PAY00277,P00277,F0078,21321,processing
PAY00278,P00278,F0050,75808,processing
PAY00279,P00279,F0030,59225,paid
PAY00280,P00280,F0028,75808,processing
PAY00281,P00281,F0075,21321,paid
PAY00282,P00282,F0047,30797,pending
PAY00283,P00283,F0080,47380,paid
PAY00284,P00284,F0083,37904,paid
PAY00285,P00285,F0065,54487,processing
PAY00286,P00286,F0048,49749,pending
PAY00287,P00287,F0063,75808,paid
PAY00288,P00288,F0068,75808,pending
PAY00289,P00289,F0062,23690,pending
PAY00290,P00290,F0086,11845,paid
PAY00291,P00291,F0029,35535,processing
PAY00292,P00292,F0029,26059,paid
PAY00293,P00293,F0078,30797,paid
PAY00294,P00294,F0026,59225,processing
PAY00295,P00295,F0059,47380,paid
PAY00296,P00296,F0096,73439,paid
PAY00297,P00297,F0026,66332,processing
PAY00298,P00298,F0005,61594,pending
PAY00299,P00299,F0013,59225,processing
PAY00300,P00300,F0009,49749,processing
