quality_id,procurement_id,moisture_pct,foreign_matter_pct,result
QC00099,P00099,13.14,1.84,hold
QC00100,P00100,17.18,2.43,pass
QC00101,P00101,14.91,1.84,pass
QC00102,P00102,17.6,2.44,pass
QC00103,P00103,15.56,4.78,pass
QC00104,P00104,12.05,4.21,hold
QC00105,P00105,18.73,1.4,pass
QC00106,P00106,18.62,4.35,hold
QC00107,P00107,18.62,3.61,pass
QC00108,P00108,19.0,1.34,hold
QC00109,P00109,18.13,1.06,pass
QC00110,P00110,17.11,4.59,pass
QC00111,P00111,12.99,2.0,pass
QC00112,P00112,12.9,1.62,hold
QC00113,P00113,17.34,1.24,pass
QC00114,P00114,18.06,3.64,pass
QC00115,P00115,16.32,4.29,hold
QC00116,P00116,13.21,4.75,pass
QC00117,P00117,17.19,4.24,pass
QC00118,P00118,14.56,4.7,pass
QC00119,P00119,12.21,1.82,hold
QC00120,P00120,16.38,4.64,pass
QC00121,P00121,16.35,1.11,pass
QC00122,P00122,14.32,4.56,pass
QC00123,P00123,17.14,1.58,hold
QC00124,P00124,12.33,2.51,pass
QC00125,P00125,13.11,1.06,pass
QC00126,P00126,12.64,4.95,pass
QC00127,P00127,18.78,2.86,hold
QC00128,P00128,17.99,3.15,pass
QC00129,P00129,18.0,4.24,pass
QC00130,P00130,14.18,2.88,pass
QC00131,P00131,12.9,3.63,pass
QC00132,P00132,18.7,3.67,pass
QC00133,P00133,15.34,3.99,pass
QC00134,P00134,12.88,3.06,pass
QC00135,P00135,13.58,1.33,pass
QC00136,P00136,17.02,2.13,pass
QC00137,P00137,13.75,2.0,pass
QC00138,P00138,14.3,4.9,pass
QC00139,P00139,17.32,1.53,hold
QC00140,P00140,14.62,1.58,pass
QC00141,P00141,17.24,4.2,pass
QC00142,P00142,17.56,4.92,pass
QC00143,P00143,13.0,1.14,pass
QC00144,P00144,13.13,2.29,hold
QC00145,P00145,15.39,2.38,hold
QC00146,P00146,15.16,1.86,pass
QC00147,P00147,15.82,1.47,pass
QC00148,P00148,16.59,3.06,pass
QC00149,P00149,14.36,4.57,pass
QC00150,P00150,14.39,4.49,hold
QC00151,P00151,16.64,3.67,pass
QC00152,P00152,17.34,2.05,pass
QC00153,P00153,14.99,1.1,pass
QC00154,P00154,12.66,4.9,pass
QC00155,P00155,12.84,3.85,pass
QC00156,P00156,18.11,2.23,hold
QC00157,P00157,15.87,4.76,pass
QC00158,P00158,14.78,4.76,pass
QC00159,P00159,12.99,3.72,pass
QC00160,P00160,13.39,3.98,pass
QC00161,P00161,15.94,3.12,pass
QC00162,P00162,17.6,2.45,pass
QC00163,P00163,16.86,4.99,pass
QC00164,P00164,14.62,1.4,pass
QC00165,P00165,16.44,4.44,pass
QC00166,P00166,17.9,4.0,pass
QC00167,P00167,15.79,4.82,hold
QC00168,P00168,18.01,2.11,hold
QC00169,P00169,14.08,4.6,hold
QC00170,P00170,18.26,2.87,pass
QC00171,P00171,17.05,2.2,pass
QC00172,P00172,13.76,3.22,pass
QC00173,P00173,13.46,3.93,pass
QC00174,P00174,12.41,2.64,pass
QC00175,P00175,15.37,1.64,pass
QC00176,P00176,14.74,1.64,hold
QC00177,P00177,14.74,1.77,pass
QC00178,P00178,12.49,4.85,pass
QC00179,P00179,12.98,2.61,pass
QC00180,P00180,13.44,1.57,pass
QC00181,P00181,17.32,1.04,pass
QC00182,P00182,15.64,3.1,hold
QC00183,P00183,13.63,2.75,pass
QC00184,P00184,15.79,3.44,pass
QC00185,P00185,12.49,4.92,pass
QC00186,P00186,18.13,4.8,pass
QC00187,P00187,14.67,4.56,pass
QC00188,P00188,16.39,2.7,pass
QC00189,P00189,18.13,3.77,hold
QC00190,P00190,17.31,1.9,pass
QC00191,P00191,12.62,3.93,pass
QC00192,P00192,13.69,4.4,hold
QC00193,P00193,17.86,4.85,hold
QC00194,P00194,12.4,1.42,pass
QC00195,P00195,17.9,3.93,pass
QC00196,P00196,16.48,2.32,pass
QC00197,P00197,18.88,1.33,pass
QC00198,P00198,16.99,2.94,hold
QC00199,P00199,13.55,2.74,pass
QC00200,P00200,12.73,4.12,hold
QC00201,P00201,15.92,4.35,hold
QC00202,P00202,16.25,4.48,hold
QC00203,P00203,12.29,1.43,pass
QC00204,P00204,16.03,1.47,pass
QC00205,P00205,14.52,3.69,hold
QC00206,P00206,17.71,3.87,pass
QC00207,P00207,14.43,4.15,hold
QC00208,P00208,16.01,3.09,hold
QC00209,P00209,17.69,3.51,hold
QC00210,P00210,16.68,1.1,pass
QC00211,P00211,12.17,4.78,pass
QC00212,P00212,14.05,2.65,pass
QC00213,P00213,17.1,4.4,pass
QC00214,P00214,14.51,3.73,pass
QC00215,P00215,18.82,1.99,hold
QC00216,P00216,17.49,2.3,pass
QC00217,P00217,17.38,1.64,pass
QC00218,P00218,17.18,4.01,pass
QC00219,P00219,17.91,4.43,pass
QC00220,P00220,14.46,3.15,pass
QC00221,P00221,14.22,2.22,pass
QC00222,P00222,16.48,2.25,hold
QC00223,P00223,16.48,4.03,pass
QC00224,P00224,13.85,3.83,pass
QC00225,P00225,14.36,2.75,pass
QC00226,P00226,17.28,4.84,pass
QC00227,P00227,12.11,1.76,pass
QC00228,P00228,18.36,3.8,pass
QC00229,P00229,17.3,3.15,hold
QC00230,P00230,16.33,1.3,pass
QC00231,P00231,12.63,3.39,hold
QC00232,P00232,17.97,1.58,pass
QC00233,P00233,15.73,2.59,hold
QC00234,P00234,12.73,4.82,pass
QC00235,P00235,16.29,4.88,pass
QC00236,P00236,19.0,2.77,pass
QC00237,P00237,13.72,1.62,pass
QC00238,P00238,12.18,1.9,pass
QC00239,P00239,13.72,1.9,pass
QC00240,P00240,13.02,2.19,pass
QC00241,P00241,18.0,2.93,hold
QC00242,P00242,14.9,3.2,pass
QC00243,P00243,14.89,4.39,hold
QC00244,P00244,16.39,4.55,hold
QC00245,P00245,17.23,3.83,pass
QC00246,P00246,17.62,2.05,pass
QC00247,P00247,14.55,4.7,pass
QC00248,P00248,14.24,2.43,pass
QC00249,P00249,14.25,4.31,pass
QC00250,P00250,17.57,3.32,pass
QC00251,P00251,18.87,4.14,hold
QC00252,P00252,15.75,1.42,pass
QC00253,P00253,17.04,3.87,pass
QC00254,P00254,15.26,3.3,pass
QC00255,P00255,15.22,2.75,hold
QC00256,P00256,12.45,4.98,pass
QC00257,P00257,15.92,3.24,pass
QC00258,P00258,18.27,2.91,pass
QC00259,P00259,12.45,2.42,pass
QC00260,P00260,15.99,4.79,pass
QC00261,P00261,17.0,2.96,pass
QC00262,P00262,18.9,1.86,hold
QC00263,P00263,14.17,3.79,pass
QC00264,P00264,14.31,3.28,hold
QC00265,P00265,13.01,3.16,pass
QC00266,P00266,18.04,4.88,pass
QC00267,P00267,16.98,2.43,pass
QC00268,P00268,17.42,1.28,pass
QC00269,P00269,15.71,3.92,pass
QC00270,P00270,13.74,3.41,pass
QC00271,P00271,17.85,1.12,hold
QC00272,P00272,17.1,2.33,pass
QC00273,P00273,18.62,3.3,hold
QC00274,P00274,17.63,2.53,hold
QC00275,P00275,12.97,2.37,pass
QC00276,P00276,14.18,1.71,hold
QC00277,P00277,18.15,3.0,pass
QC00278,P00278,13.82,1.8,pass
QC00279,P00279,18.9,3.53,pass
QC00280,P00280,15.16,1.38,pass
QC00281,P00281,12.14,3.42,pass
QC00282,P00282,16.78,1.38,pass
QC00283,P00283,18.75,3.12,pass
QC00284,P00284,14.29,2.23,pass
QC00285,P00285,18.02,4.82,pass
QC00286,P00286,16.46,2.99,pass
QC00287,P00287,18.83,1.39,pass
QC00288,P00288,16.2,3.3,hold
QC00289,P00289,16.94,4.52,pass
QC00290,P00290,15.55,4.26,hold
QC00291,P00291,12.21,1.16,pass
QC00292,P00292,17.65,2.25,pass
QC00293,P00293,12.75,3.73,pass
QC00294,P00294,18.3,2.99,pass
QC00295,P00295,18.98,4.68,hold
QC00296,P00296,18.5,3.19,hold
QC00297,P00297,17.49,4.78,pass
QC00298,P00298,14.37,2.46,pass
QC00299,P00299,18.72,2.96,hold
QC00300,P00300,12.29,1.23,hold
